custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
4565-ZGPUAQ-WCB,2.00,1.00,0.00,54.00,5.00,August,15.00,3.00,6.00,1.00,19.00,5.00,0.00,95.00,4.55,4.00,11.60,3.59,1.28,7.43,2.01,0.00,2.00,1.00,15.00,3.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,19.00,4.00,2.00,1.00,0.00,47.00,3.00,0.00,0.00,5.00,3.00,22.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,0.00,0.00,0.00,4.00,1.00,1.00,0.00,25.00,5.00,3.00,1.00,4.00,0.00,14.00,4.00,8.00,164.06,3.00,90.95,1.00,3.00,55.00,0.00,8.80,2.17,442.20,6.09,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,18.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
7029-AQGOSU-NID,3.00,2.00,0.00,55.00,5.00,September,12.00,2.00,3.00,0.00,13.00,4.00,0.00,75.00,4.32,4.00,10.30,2.16,0.77,5.56,1.72,0.00,4.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,18.00,4.00,5.00,1.00,1.00,34.50,2.00,0.00,1.00,1.00,1.00,22.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,4.00,1.00,0.00,1.00,1.00,2.00,3.00,0.00,20.00,5.00,4.00,1.00,4.00,0.00,11.00,4.00,10.00,682.47,3.00,167.02,0.00,3.00,39.00,0.00,9.15,2.21,359.25,5.88,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,26.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
9976-EWHQDK-CWR,3.00,3.00,1.00,63.00,5.00,February,11.00,1.00,6.00,0.00,32.00,5.00,0.00,304.00,5.72,5.00,16.60,34.72,3.55,15.74,2.76,1.00,5.00,0.00,-1.00,-1.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,33.00,5.00,2.00,1.00,0.00,91.90,3.00,0.00,1.00,3.00,2.00,30.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,9.00,5.00,0.00,0.00,1.00,2.00,1.00,3.00,1.00,25.00,5.00,4.00,3.00,3.00,0.00,21.00,5.00,14.00,553.55,4.00,151.21,1.00,2.00,56.00,0.00,14.50,2.67,798.40,6.68,1.00,46.25,3.83,2572.60,7.85,0.00,0.00,#NULL!,0.00,#NULL!,1.00,24.50,3.20,1335.00,7.20,0.00,0.00,#NULL!,0.00,#NULL!,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,16.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00
3566-DRQMDC-TNF,2.00,1.00,0.00,75.00,6.00,July,13.00,2.00,2.00,0.00,6.00,3.00,1.00,14.00,2.64,1.00,5.70,0.31,-1.16,0.48,-0.72,0.00,4.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,18.00,4.00,2.00,1.00,1.00,6.60,1.00,0.00,1.00,8.00,4.00,18.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,9.00,5.00,0.00,0.00,1.00,1.00,4.00,3.00,1.00,11.00,4.00,2.00,2.00,1.00,1.00,7.00,3.00,14.00,255.55,7.00,205.20,0.00,2.00,24.00,0.00,4.90,1.59,108.20,4.68,1.00,12.75,2.55,291.55,5.68,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,12.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
5907-WLVNJA-C0N,3.00,4.00,0.00,35.00,4.00,June,13.00,2.00,4.00,0.00,13.00,4.00,0.00,46.00,3.83,2.00,13.50,1.86,0.62,4.35,1.47,0.00,4.00,0.00,-1.00,-1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,15.00,3.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,8.00,4.00,25.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,9.00,4.00,0.00,0.00,0.00,3.00,2.00,3.00,0.00,11.00,4.00,2.00,4.00,4.00,1.00,9.00,3.00,15.00,306.21,5.00,63.09,1.00,1.00,21.00,0.00,9.25,2.22,201.30,5.30,1.00,19.50,2.97,373.25,5.92,0.00,0.00,#NULL!,0.00,#NULL!,1.00,23.75,3.17,475.00,6.16,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,17.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
9337-MAIPAF-W8G,1.00,2.00,0.00,28.00,3.00,April,17.00,4.00,2.00,0.00,0.00,1.00,0.00,39.00,3.66,2.00,11.00,0.87,-0.14,3.42,1.23,0.00,1.00,1.00,14.00,2.00,3.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,4.00,6.00,2.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,4.00,3.00,29.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,0.00,0.00,1.00,1.00,4.00,1.00,0.00,8.00,3.00,3.00,2.00,3.00,1.00,4.00,2.00,15.00,371.37,1.00,12.80,0.00,1.00,11.00,0.00,4.95,1.60,59.65,4.09,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,22.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
9693-EYQCTU-O92,3.00,4.00,1.00,59.00,5.00,February,17.00,4.00,2.00,0.00,6.00,3.00,1.00,9.00,2.20,1.00,4.60,0.32,-1.15,0.10,-2.33,0.00,3.00,0.00,-1.00,-1.00,1.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,34.00,5.00,1.00,0.00,1.00,4.10,1.00,1.00,0.00,8.00,4.00,25.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,9.00,2.00,0.00,0.00,1.00,4.00,1.00,4.00,0.00,9.00,3.00,1.00,4.00,3.00,0.00,7.00,3.00,9.00,246.03,5.00,150.83,1.00,3.00,18.00,0.00,10.75,2.37,180.80,5.20,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,10.50,2.35,195.00,5.27,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
3580-ESDOJO-PLY,4.00,4.00,0.00,36.00,4.00,December,15.00,3.00,1.00,0.00,5.00,2.00,0.00,96.00,4.56,4.00,12.60,2.54,0.93,9.56,2.26,0.00,5.00,1.00,17.00,4.00,2.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,9.00,3.00,2.00,1.00,1.00,47.80,3.00,0.00,1.00,10.00,5.00,27.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,9.00,3.00,0.00,0.00,0.00,4.00,3.00,2.00,0.00,18.00,5.00,3.00,2.00,4.00,0.00,14.00,4.00,10.00,384.36,8.00,251.46,1.00,3.00,51.00,1.00,6.80,1.92,389.15,5.96,1.00,20.00,3.00,1055.15,6.96,1.00,49.15,3.89,2398.50,7.78,0.00,0.00,#NULL!,0.00,#NULL!,1.00,42.65,3.75,2180.55,7.69,1.00,0.00,1.00,3.00,1.00,1.00,1.00,0.00,1.00,1.00,24.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00
8556-OAMUPP-4YG,4.00,4.00,0.00,37.00,4.00,November,17.00,4.00,4.00,0.00,12.00,4.00,0.00,72.00,4.28,3.00,4.40,0.32,-1.14,2.85,1.05,0.00,5.00,1.00,14.00,2.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,4.00,11.00,3.00,2.00,1.00,0.00,32.80,2.00,0.00,0.00,1.00,1.00,31.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,9.00,4.00,0.00,0.00,1.00,4.00,3.00,1.00,0.00,19.00,5.00,1.00,4.00,3.00,1.00,19.00,5.00,13.00,438.21,4.00,156.45,0.00,3.00,57.00,0.00,19.20,2.95,1087.10,6.99,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,14.00,2.64,805.00,6.69,1.00,35.85,3.58,2014.75,7.61,1.00,1.00,0.00,3.00,0.00,1.00,1.00,1.00,1.00,1.00,23.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
9755-GDNGDU-RHC,2.00,3.00,0.00,18.00,2.00,December,13.00,2.00,2.00,0.00,0.00,1.00,0.00,18.00,2.89,1.00,2.10,0.02,-3.91,0.36,-1.03,1.00,1.00,0.00,-1.00,-1.00,1.00,6.00,0.00,2.00,0.00,0.00,0.00,0.00,4.00,1.00,1.00,0.00,1.00,2.00,1.00,0.00,9.10,1.00,1.00,0.00,1.00,1.00,28.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,0.00,1.00,4.00,3.00,0.00,0.00,1.00,3.00,1.00,3.00,0.00,0.00,1.00,14.00,422.37,6.00,174.86,1.00,1.00,4.00,1.00,6.20,1.82,29.25,3.38,0.00,0.00,#NULL!,0.00,#NULL!,1.00,34.30,3.54,92.55,4.53,1.00,10.25,2.33,35.00,3.56,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,16.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7448-PLNMET-VCI,2.00,1.00,0.00,73.00,6.00,May,11.00,1.00,2.00,0.00,7.00,3.00,1.00,9.00,2.20,1.00,8.20,0.15,-1.92,0.59,-0.53,0.00,5.00,1.00,17.00,4.00,2.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1.00,3.00,31.00,5.00,1.00,1.00,1.00,4.60,1.00,0.00,1.00,5.00,3.00,23.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,1.00,0.00,0.00,4.00,1.00,2.00,0.00,39.00,5.00,1.00,4.00,3.00,0.00,30.00,5.00,9.00,189.24,9.00,149.21,0.00,2.00,72.00,0.00,27.05,3.30,1932.70,7.57,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,41.25,3.72,2865.00,7.96,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,20.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
0995-IKDXEO-UL1,4.00,5.00,0.00,67.00,6.00,May,12.00,2.00,2.00,0.00,3.00,2.00,0.00,28.00,3.33,2.00,10.70,1.27,0.24,1.73,0.55,0.00,5.00,1.00,14.00,2.00,6.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,17.00,4.00,3.00,0.00,0.00,15.30,1.00,0.00,1.00,1.00,1.00,40.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,5.00,0.00,0.00,0.00,4.00,2.00,2.00,0.00,6.00,3.00,1.00,1.00,2.00,1.00,4.00,2.00,13.00,238.73,2.00,37.80,1.00,2.00,9.00,1.00,7.75,2.05,63.80,4.16,0.00,0.00,#NULL!,0.00,#NULL!,1.00,28.85,3.36,236.80,5.47,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,1.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
3436-NIDSLT-XB7,1.00,4.00,1.00,18.00,2.00,September,13.00,2.00,4.00,0.00,0.00,1.00,0.00,14.00,2.64,1.00,14.80,0.15,-1.89,1.92,0.65,0.00,1.00,1.00,8.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,1.00,3.00,0.00,1.00,5.70,1.00,0.00,0.00,1.00,1.00,38.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,9.00,2.00,1.00,0.00,1.00,3.00,3.00,4.00,0.00,0.00,1.00,2.00,1.00,3.00,0.00,0.00,1.00,9.00,121.97,6.00,94.18,1.00,1.00,4.00,0.00,9.35,2.24,45.60,3.82,1.00,11.50,2.44,38.00,3.64,0.00,0.00,#NULL!,0.00,#NULL!,1.00,25.00,3.22,75.00,4.32,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,16.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00
3527-XFEFWW-08A,3.00,5.00,1.00,76.00,6.00,October,11.00,1.00,5.00,0.00,48.00,5.00,1.00,17.00,2.83,1.00,6.30,0.42,-0.86,0.65,-0.44,0.00,5.00,0.00,-1.00,-1.00,1.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,1.00,3.00,30.00,5.00,1.00,1.00,1.00,7.90,1.00,0.00,0.00,10.00,5.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,9.00,5.00,0.00,0.00,1.00,2.00,4.00,2.00,0.00,38.00,5.00,4.00,2.00,4.00,0.00,28.00,5.00,13.00,319.45,4.00,95.70,0.00,2.00,71.00,0.00,13.55,2.61,978.40,6.89,1.00,31.50,3.45,2236.65,7.71,0.00,0.00,#NULL!,0.00,#NULL!,1.00,14.25,2.66,975.00,6.88,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,21.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
2915-PWFHWV-VJT,2.00,2.00,0.00,43.00,4.00,May,19.00,4.00,1.00,0.00,3.00,2.00,0.00,49.00,3.89,2.00,4.70,0.24,-1.42,2.06,0.72,0.00,4.00,0.00,-1.00,-1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,2.00,1.00,1.00,1.00,26.50,2.00,1.00,1.00,3.00,2.00,24.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,9.00,2.00,0.00,1.00,1.00,4.00,3.00,2.00,1.00,16.00,5.00,1.00,1.00,3.00,1.00,13.00,4.00,12.00,486.18,5.00,251.01,1.00,1.00,37.00,0.00,7.75,2.05,290.25,5.67,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,23.85,3.17,898.60,6.80,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,1.00,24.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
7634-DYMZLJ-1FV,1.00,1.00,0.00,42.00,4.00,March,17.00,4.00,2.00,0.00,5.00,2.00,0.00,25.00,3.22,2.00,9.00,1.64,0.49,0.61,-0.49,1.00,3.00,1.00,17.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,2.00,2.00,1.00,0.00,15.10,1.00,0.00,1.00,1.00,1.00,26.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,0.00,0.00,1.00,4.00,1.00,1.00,1.00,12.00,4.00,3.00,2.00,4.00,0.00,11.00,4.00,8.00,190.57,1.00,11.87,1.00,1.00,18.00,1.00,10.10,2.31,172.00,5.15,0.00,0.00,#NULL!,0.00,#NULL!,1.00,41.40,3.72,694.10,6.54,0.00,0.00,#NULL!,0.00,#NULL!,1.00,30.50,3.42,558.80,6.33,1.00,1.00,1.00,3.00,1.00,1.00,0.00,0.00,1.00,1.00,17.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
5967-QLYOLM-8QN,5.00,5.00,0.00,20.00,2.00,August,15.00,3.00,5.00,0.00,0.00,1.00,0.00,19.00,2.94,1.00,22.10,0.97,-0.03,3.23,1.17,1.00,1.00,0.00,-1.00,-1.00,1.00,5.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,2.00,1.00,0.00,10.20,1.00,1.00,0.00,1.00,1.00,25.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,1.00,1.00,1.00,0.00,2.00,4.00,1.00,0.00,2.00,2.00,4.00,4.00,2.00,0.00,2.00,2.00,10.00,120.94,3.00,49.48,0.00,1.00,30.00,0.00,6.75,1.91,204.45,5.32,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,1.00,19.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00
0629-NGBEXR-SD1,2.00,2.00,0.00,63.00,5.00,January,14.00,2.00,6.00,0.00,29.00,5.00,0.00,183.00,5.21,5.00,1.10,0.15,-1.92,1.87,0.62,0.00,5.00,1.00,10.00,1.00,4.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00,1.00,29.00,5.00,1.00,1.00,0.00,92.00,3.00,1.00,0.00,1.00,1.00,30.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00,1.00,0.00,3.00,1.00,1.00,0.00,40.00,5.00,4.00,2.00,4.00,0.00,29.00,5.00,10.00,378.00,7.00,241.00,1.00,2.00,71.00,0.00,25.05,3.22,1690.25,7.43,1.00,27.50,3.31,1960.00,7.58,0.00,0.00,#NULL!,0.00,#NULL!,1.00,17.75,2.88,1370.00,7.22,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,17.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
4227-XNKGCM-1JC,1.00,2.00,0.00,50.00,5.00,March,15.00,3.00,5.00,1.00,13.00,4.00,0.00,112.00,4.72,4.00,16.00,9.57,2.26,8.35,2.12,1.00,4.00,1.00,18.00,4.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,18.00,4.00,2.00,1.00,1.00,61.50,3.00,0.00,1.00,6.00,3.00,25.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,9.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,0.00,32.00,5.00,4.00,1.00,4.00,0.00,26.00,5.00,9.00,338.76,4.00,94.70,0.00,2.00,67.00,1.00,17.40,2.86,1229.15,7.11,1.00,29.50,3.38,1949.25,7.58,0.00,0.00,#NULL!,0.00,#NULL!,1.00,15.00,2.71,980.00,6.89,0.00,0.00,#NULL!,0.00,#NULL!,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,25.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00
7244-NTQUTS-IDH,5.00,2.00,1.00,70.00,6.00,February,13.00,2.00,1.00,0.00,19.00,5.00,0.00,54.00,3.99,3.00,10.20,2.58,0.95,2.93,1.08,0.00,5.00,0.00,-1.00,-1.00,1.00,19.00,2.00,0.00,3.00,0.00,0.00,0.00,14.00,0.00,2.00,15.00,3.00,5.00,1.00,0.00,29.60,2.00,1.00,0.00,1.00,1.00,23.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,9.00,4.00,1.00,0.00,0.00,4.00,1.00,4.00,1.00,20.00,5.00,3.00,4.00,1.00,0.00,18.00,5.00,11.00,198.22,0.00,0.00,1.00,1.00,46.00,0.00,10.10,2.31,485.70,6.19,1.00,28.50,3.35,1246.80,7.13,0.00,0.00,#NULL!,0.00,#NULL!,1.00,18.25,2.90,925.00,6.83,0.00,0.00,#NULL!,0.00,#NULL!,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,18.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
4615-QZQSAY-D51,4.00,5.00,0.00,19.00,2.00,March,14.00,2.00,6.00,0.00,0.00,1.00,0.00,19.00,2.94,1.00,18.40,0.35,-1.06,3.15,1.15,1.00,2.00,0.00,-1.00,-1.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,0.00,0.00,9.30,1.00,0.00,1.00,5.00,3.00,29.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,9.00,4.00,0.00,0.00,0.00,2.00,1.00,2.00,0.00,1.00,1.00,4.00,2.00,4.00,1.00,1.00,1.00,10.00,186.66,2.00,51.27,1.00,3.00,1.00,1.00,1.15,0.14,1.15,0.14,1.00,11.75,2.46,11.75,2.46,1.00,28.60,3.35,28.60,3.35,1.00,5.25,1.66,5.25,1.66,1.00,16.90,2.83,16.90,2.83,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,19.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00
5716-RSRKLP-5GG,1.00,2.00,0.00,25.00,3.00,September,16.00,3.00,1.00,0.00,1.00,1.00,0.00,21.00,3.04,1.00,28.50,3.70,1.31,2.29,0.83,1.00,2.00,1.00,13.00,2.00,4.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,2.00,2.00,1.00,0.00,10.70,1.00,0.00,0.00,1.00,1.00,25.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,2.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,7.00,3.00,2.00,1.00,1.00,0.00,7.00,3.00,12.00,225.87,7.00,134.59,1.00,3.00,65.00,0.00,31.70,3.46,2069.95,7.64,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,19.25,2.96,1220.00,7.11,0.00,0.00,#NULL!,0.00,#NULL!,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,24.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
5380-DOESXJ-FLH,4.00,3.00,0.00,49.00,4.00,February,17.00,4.00,2.00,0.00,1.00,1.00,0.00,47.00,3.85,2.00,2.90,0.63,-0.46,0.73,-0.32,0.00,5.00,1.00,16.00,3.00,3.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,3.00,26.00,5.00,2.00,1.00,0.00,23.30,2.00,1.00,1.00,1.00,1.00,22.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,9.00,3.00,1.00,0.00,1.00,2.00,3.00,4.00,0.00,17.00,5.00,3.00,1.00,2.00,0.00,11.00,4.00,12.00,149.06,9.00,106.64,0.00,2.00,28.00,1.00,5.80,1.76,185.70,5.22,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,1.00,23.50,3.16,632.20,6.45,0.00,0.00,0.00,2.00,0.00,1.00,1.00,0.00,0.00,1.00,15.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
0151-PMYWWF-53S,2.00,1.00,0.00,55.00,5.00,February,15.00,3.00,2.00,0.00,6.00,3.00,0.00,58.00,4.06,3.00,19.80,2.88,1.06,8.60,2.15,0.00,4.00,1.00,10.00,1.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,23.00,4.00,3.00,1.00,1.00,27.80,2.00,0.00,0.00,1.00,1.00,27.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,3.00,1.00,0.00,0.00,2.00,2.00,2.00,0.00,7.00,3.00,4.00,1.00,4.00,0.00,5.00,2.00,12.00,712.79,5.00,275.73,0.00,3.00,11.00,0.00,4.80,1.57,61.30,4.12,1.00,23.50,3.16,268.95,5.59,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,#NULL!,0.00,#NULL!,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,20.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
